property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
71518,-37.85684967,145.2210388,4 Croxteth Way,WANTIRNA,6900000,house,2008,4,2,1,SC_032,4.956,19871,3.789,45.90909090909091,0,hospital_008,0.965,S_227,1.115
93096,-37.986403,145.08930800000002,27 Mc Swain St,PARKDALE,3800000,house,2010,3,2,0,SC_003,1.7,19864,1.36,40.9,0,hospital_001,1.52,S_003,1.096
64629,-37.78921,145.258285,52  Strathfield Parade,CROYDON,8730000,house,2013,4,2,2,SC_022,2.442,19878,2.082,50.63636363636363,0,hospital_164,2.078,S_157,0.934
17147,-37.700551000000004,144.941425,38 Everard Street,GLENROY,3980000,house,2016,2,1,1,SC_030,3.628,19961,1.537,35.0,0,hospital_139,5.335,S_004,0.758
58264,-37.817426,145.144476,62 Elmhurst Road,BLACKBURN,6360000,house,2016,3,2,1,SC_037,1.947,19897,0.5,35.421052631578945,0,hospital_060,2.008,S_018,1.578
61291,-37.80974579,145.23710630000002,14 Georges Road,RINGWOOD,2632000,house,2009,2,1,0,SC_032,0.802,19902,0.99,43.22222222222222,0,hospital_105,0.547,S_190,0.601
29073,-37.807790000000004,144.99611000000002,57 Nicholson Street,ABBOTSFORD,7540000,house,2012,2,1,0,SC_068,2.251,19976,0.418,9.764705882352942,0,hospital_134,0.786,S_076,0.207
64180,-37.78630066,145.2648773,3 Marchant Court,CROYDON,7990000,house,2008,3,2,2,SC_022,2.142,19878,1.717,50.63636363636363,0,hospital_164,2.525,S_157,1.489
18342,-37.69061279,144.9223938,18 Walsh Street,BROADMEADOWS,3900000,house,2009,3,1,0,SC_059,3.309,20031,0.765,34.875,0,hospital_104,4.447,S_153,1.396
49221,-37.811337,145.07253500000002,201 Whitehorse Road,BALWYN,6900000,house,2014,2,2,1,SC_099,1.929,19893,1.651,28.636363636363637,0,hospital_064,2.151,S_137,2.144
33409,-37.72674,145.017761,1/15 Wilkinson Street,RESERVOIR,7800000,house,2014,3,1,1,SC_047,1.718,20011,1.333,29.0,0,hospital_139,2.013,S_225,0.987
80079,-37.9831749,145.1666376,3 Lugarno Court,KEYSBOROUGH,4176000,house,2013,3,2,2,SC_057,1.215,19890,1.992,48.82608695652174,0,hospital_096,1.225,S_079,1.214
73819,-37.867041,145.272349,53 Rankin Road,BORONIA,8160000,house,2011,4,2,2,SC_049,4.384,19869,1.287,53.0,0,hospital_049,1.036,S_024,1.23
83987,-37.852585999999995,145.0018772,4 Trinian Street,PRAHRAN,13500000,house,2014,3,2,1,SC_066,0.938,19947,0.89,20.583333333333332,0,hospital_012,0.358,S_115,0.587
28727,-37.804629999999996,144.984469,9/79 Oxford Street,COLLINGWOOD,12640000,house,2011,2,2,1,SC_008,1.517,19976,0.816,9.764705882352942,0,hospital_178,0.53,S_175,0.132
27548,-37.580196,144.911981,7 Clayton Rd,CRAIGIEBURN,3960000,house,2016,3,2,1,SC_005,0.975,40221,3.665,45.92857142857143,0,hospital_104,7.883,S_178,2.477
54564,-37.825654,145.043573,5 Goodall Street,HAWTHORN,22680000,house,2015,3,1,1,SC_083,0.909,19903,0.414,22.875,0,hospital_127,0.786,S_208,0.954
65708,-37.7828598,145.3140411,12 Delville Street,MOOROOLBARK,20400000,house,2009,3,2,0,SC_084,2.751,19877,0.255,54.5,0,hospital_113,4.273,S_224,2.171
61144,-37.79684829999999,145.24461369999997,103 Mullum Mullum Road,RINGWOOD,4100000,house,2009,4,2,1,SC_032,2.251,19879,1.753,46.5,0,hospital_164,1.552,S_157,0.921
67842,-37.84506226,145.0046845,11 Ashe Grove,TOORAK,7456000,house,2009,4,2,1,SC_038,0.59,19947,0.23,20.583333333333332,0,hospital_097,0.69,S_115,0.336
4087,-37.841177,144.87303,122 Mason Street,NEWPORT,9090000,house,2016,3,2,0,SC_033,2.818,19994,0.945,20.59090909090909,0,hospital_141,2.869,S_056,2.424
7361,-37.742489,144.775652,27 Trafalgar Street,ALBANVALE,2120000,house,2010,4,1,0,SC_048,3.187,20002,2.164,33.05555555555556,0,hospital_057,3.963,S_070,0.935
58142,-37.814249,145.13988799999998,452 Middleborough Road,BLACKBURN,4960000,house,2010,4,1,0,SC_037,1.626,19897,0.731,35.421052631578945,0,hospital_154,1.771,S_147,1.701
4834,-37.863397,144.838654,11 Cain Court,ALTONA,3856000,house,2012,3,1,2,SC_033,4.15,19927,0.535,28.166666666666668,0,hospital_141,4.651,S_128,0.917
44157,-37.710178000000006,145.09628600000002,112 Delta Road,GREENSBOROUGH,6720000,house,2012,4,1,1,SC_017,5.632,19984,1.104,33.86666666666667,0,hospital_075,1.014,S_020,0.695
23753,-37.639447,144.903027,69 Clare Boulevard,GREENVALE,6180000,house,2010,3,2,2,SC_075,1.852,40220,2.857,41.92857142857143,0,hospital_104,1.979,S_211,1.866
34674,-37.727252,145.032331,31 Summerhill  Road,RESERVOIR,5236000,house,2013,3,1,3,SC_047,1.27,20010,2.512,32.083333333333336,0,hospital_025,1.491,S_225,0.41
62691,-37.82877731,145.2559204,20 Armstrong Road,HEATHMONT,7756000,house,2009,4,3,2,SC_032,2.977,19871,1.001,45.90909090909091,0,hospital_105,2.265,S_139,1.851
14313,-37.754207,144.894677,336 Buckley Street,ESSENDON,6112000,house,2014,2,2,2,SC_085,2.192,20037,1.905,20.88235294117647,0,hospital_184,1.611,S_197,1.758
51768,-37.800946,145.21513000000002,111 Glenvale Road,DONVALE,7632000,house,2014,3,1,2,SC_032,1.782,19901,2.009,41.22222222222222,0,hospital_070,2.12,S_040,1.714
9007,-37.878403000000006,144.756911,28 Catherine Road,SEABROOK,4056000,house,2015,3,1,1,SC_092,2.964,46468,1.263,32.75,0,hospital_073,6.781,S_007,1.733
85617,-37.881586,144.99798700000002,4 Ripon Grove,ELSTERNWICK,13260000,house,2014,3,1,1,SC_015,2.089,19954,0.436,16.9375,0,hospital_116,1.09,S_193,0.927
86491,-37.907596999999996,144.9884,2A Higinbotham Street,BRIGHTON,24600000,house,2014,3,3,3,SC_015,4.384,19951,1.089,22.0,0,hospital_198,0.415,S_150,0.797
78401,-37.93239212,145.20233149999999,81 Gladeswood Drive,MULGRAVE,7553000,house,2009,4,3,2,SC_073,3.245,19891,4.385,45.95652173913044,0,hospital_161,1.172,S_067,1.28
83240,-37.88919067,145.2489319,57 Kathryn Road,KNOXFIELD,4858000,house,2009,3,2,2,SC_049,5.242,19868,4.154,55.0,0,hospital_002,4.117,S_027,1.82
82269,-37.985068,145.24573999999998,50 Louis Street,DOVETON,4060000,house,2013,3,1,1,SC_077,2.251,19888,3.206,53.81818181818182,0,hospital_119,2.349,S_195,1.342
67241,-37.751141,145.337168,23 Blair Street,LILYDALE,8525000,house,2015,3,2,2,SC_084,2.189,19876,1.048,59.666666666666664,0,hospital_151,1.715,S_233,1.363
57884,-37.821674,145.153104,25 Blackburn Road,BLACKBURN,9120000,house,2012,2,1,1,SC_002,1.635,19898,0.325,35.15151515151515,0,hospital_060,1.283,S_018,1.198
39069,-37.761788,145.047744,9 Melcombe Road,IVANHOE,15400000,house,2010,4,2,2,SC_001,0.86,19934,0.581,25.076923076923077,0,hospital_046,1.137,S_219,0.894
62362,-37.823271999999996,145.22079499999998,89 New Street,RINGWOOD,6380000,house,2012,3,2,2,SC_032,1.367,19901,0.856,41.22222222222222,0,hospital_105,2.38,S_040,1.441
64493,-37.803678999999995,145.268855,42 Montana Parade,CROYDON,7800000,house,2011,3,2,2,SC_022,1.352,19878,1.382,50.63636363636363,0,hospital_164,1.252,S_182,1.235
48862,-37.805175,145.082086,1 Highland Avenue,BALWYN,15240000,house,2010,2,1,1,SC_099,3.004,19893,2.151,28.636363636363637,0,hospital_064,2.997,S_136,1.731
61320,-37.783896,145.252282,15 Frodsham Road,RINGWOOD,6780000,house,2012,4,2,0,SC_022,3.193,19878,2.803,50.63636363636363,0,hospital_164,2.672,S_157,1.502
89459,-37.95037079,145.01028440000002,33 Nelson Street,SANDRINGHAM,14720000,house,2008,3,2,1,SC_079,2.706,19948,0.502,28.933333333333334,0,hospital_036,1.056,S_214,1.177
76418,-37.89803696,145.0794525,8 Preston Road,HUGHESDALE,9200000,house,2008,1,1,1,SC_087,1.087,19918,0.386,31.85185185185185,0,hospital_166,2.334,S_167,1.087
29892,-37.769715000000005,144.99157399999999,3/2 McCracken Avenue,NORTHCOTE,9955000,house,2016,3,2,1,SC_103,3.476,20016,0.326,20.076923076923077,0,hospital_035,1.62,S_105,2.331
47532,-37.696544,145.15383300000002,8 Dandallo Drive,ELTHAM,8528000,house,2014,3,2,2,SC_051,2.599,19987,1.966,44.0,0,hospital_075,4.331,S_051,2.044
73660,-37.862047,145.272626,4 Rankin Road,BORONIA,6710000,house,2015,5,3,1,SC_049,4.771,19869,1.049,53.0,0,hospital_002,0.83,S_024,1.052
35569,-37.70951843,145.0160675,78 Crookston Road,RESERVOIR,7275000,house,2008,3,1,2,SC_047,3.467,20009,0.604,33.083333333333336,0,hospital_139,1.821,S_225,2.044
88631,-37.950375,145.036822,21 Albert Street,HIGHETT,12390000,house,2010,4,2,1,SC_079,0.398,19872,0.494,39.583333333333336,0,hospital_110,1.928,S_069,0.398
69617,-37.868314,145.101519,16 Winbirra Parade,ASHWOOD,7535000,house,2011,2,1,2,SC_042,1.336,19840,1.1,27.933333333333334,0,hospital_089,1.374,S_112,0.713
32680,-37.746832,144.984578,37 Kendall Street,PRESTON,13020000,house,2016,3,1,2,SC_103,1.729,20013,1.378,25.0,0,hospital_144,1.555,S_173,1.687
4605,-37.832326,144.871203,64 Vernon Street,SOUTH KINGSVILLE,9000000,house,2009,4,2,2,SC_033,2.239,19995,1.309,18.545454545454547,0,hospital_141,3.795,S_056,2.203
76241,-37.906071999999995,145.10966399999998,47 Greville Street,HUNTINGDALE,12168000,house,2016,3,1,2,SC_087,3.153,19916,0.845,35.851851851851855,0,hospital_166,0.825,S_169,2.347
74375,-37.881566,145.033555,530 Glen Eira Road,CAULFIELD,16390000,house,2016,3,2,2,SC_023,1.013,19943,0.911,23.470588235294116,0,hospital_080,1.606,S_166,0.668
67120,-37.750814,145.36643700000002,179 Nelson Road,LILYDALE,5395000,house,2010,3,2,2,SC_084,4.692,19876,1.729,59.666666666666664,0,hospital_151,0.893,S_233,1.653
1387,-37.806478000000006,144.886599,70 Station Road,SEDDON,7150000,house,2012,3,2,2,SC_043,2.628,20023,0.532,19.6,0,hospital_056,1.486,S_201,1.189
67811,-37.834056,145.017873,1 Yarradale Road,TOORAK,6903000,house,2015,4,3,2,SC_038,1.114,19909,0.424,10.928571428571429,0,hospital_127,1.79,S_102,1.099
88589,-37.953286999999996,145.03627,2 Clonmult Avenue,HIGHETT,7711000,house,2012,4,3,2,SC_079,0.626,19872,0.731,39.583333333333336,0,hospital_058,1.783,S_069,0.626
68304,-37.85874939,145.0199127,14/51 Kooyong Road,ARMADALE,8760000,house,2009,2,1,1,SC_038,2.268,19945,0.261,23.583333333333332,0,hospital_092,0.926,S_013,0.797
36744,-37.63387,145.0229,11 Kassandra Heights Way,EPPING,4345000,house,2014,3,2,1,SC_062,5.863,20005,2.157,42.833333333333336,0,hospital_053,2.05,S_196,1.227
33480,-37.708278,145.02419799999998,1/76C Purinuan Road,RESERVOIR,4548000,house,2016,2,1,1,SC_047,3.413,20009,1.294,33.083333333333336,0,hospital_025,1.931,S_225,1.894
24668,-37.669564,144.954697,1683 Sydney Road,CAMPBELLFIELD,3645000,house,2013,4,2,2,SC_072,3.546,19960,0.801,39.0,0,hospital_104,3.679,S_161,2.245
44219,-37.715039000000004,145.09640100000001,125 Elder Street,GREENSBOROUGH,8352000,house,2016,3,1,1,SC_017,5.155,19984,1.2,33.86666666666667,0,hospital_075,1.383,S_020,1.196
61534,-37.79079056,145.2493134,20 Holyrood Crescent,RINGWOOD,5726000,house,2008,3,1,3,SC_032,3.038,19879,2.359,46.5,0,hospital_164,1.968,S_157,0.876
17846,-37.70864105,144.9526825,9 Rodings Street,HADFIELD,5925000,house,2008,3,1,2,SC_030,2.655,19962,0.961,33.0,0,hospital_139,4.118,S_004,1.241
77773,-37.927207,145.20383,25 Alderbrook Ave,MULGRAVE,5780000,house,2010,4,2,1,SC_073,2.811,19891,4.857,45.95652173913044,0,hospital_161,1.508,S_067,1.665
1736,-37.81106186,144.881424,125 Empress Avenue,KINGSVILLE,10115000,house,2009,3,1,1,SC_043,2.612,19996,0.919,15.545454545454545,0,hospital_056,2.04,S_201,1.856
4793,-37.864583,144.84518400000002,1/4 Sussex Street,SEAHOLME,19500000,house,2016,4,2,2,SC_033,4.222,19927,0.519,28.166666666666668,0,hospital_141,4.083,S_128,1.388
85311,-37.884906,144.998949,17 Ross Street,ELSTERNWICK,12600000,house,2015,2,1,0,SC_015,2.414,19954,0.172,16.9375,0,hospital_116,0.916,S_193,0.662
35081,-37.724185,144.996615,5 Gilbank Street,RESERVOIR,6600000,house,2011,3,2,3,SC_103,1.777,20011,0.717,29.0,0,hospital_139,0.747,S_030,1.298
54696,-37.820445,145.043628,7 Selbourne Street,HAWTHORN,11660000,house,2013,3,1,1,SC_083,0.707,19903,0.292,22.875,0,hospital_127,0.935,S_208,0.72
53849,-37.823040999999996,145.009057,84 Type Street,RICHMOND,10230000,house,2015,2,1,1,SC_038,1.953,19906,0.52,12.774193548387096,0,hospital_122,0.584,S_076,1.909
8655,-37.767324,144.77759650000002,8 Dunbarrim Avenue,CAIRNLEA,4740000,house,2012,3,2,2,SC_048,4.972,20003,3.019,31.058823529411764,0,hospital_057,3.335,S_159,1.459
16518,-37.700619,144.909693,14  Cherwell Avenue,GLENROY,6525000,house,2014,2,2,1,SC_010,2.501,20032,0.794,32.875,0,hospital_184,4.658,S_209,1.395
48156,-37.814962,145.051879,24 Macartney Avenue,KEW,33880000,house,2010,4,3,2,SC_099,1.176,19903,0.983,22.875,0,hospital_064,0.765,S_208,1.548
31104,-37.761033000000005,145.0255652,304 Gooch Street,THORNBURY,7200000,house,2012,3,1,2,SC_001,1.62,19932,1.922,21.076923076923077,0,hospital_039,0.527,S_219,1.633
46417,-37.715638,145.152016,100 Bible Street,ELTHAM,5100000,house,2011,3,1,0,SC_051,4.721,19987,0.436,44.0,0,hospital_075,4.229,S_194,0.532
91511,-37.985399,145.05158799999998,3 Charman Road,BEAUMARIS,10800000,house,2015,3,2,3,SC_003,3.652,19865,1.255,38.9,0,hospital_055,0.605,S_011,1.043
3557,-37.811962,144.867835,445 Geelong Road,YARRAVILLE,5880000,house,2010,3,1,1,SC_043,2.112,20022,1.479,21.6,0,hospital_056,2.646,S_149,2.112
8649,-37.76640701,144.7815857,71 Gurnung Drive,CAIRNLEA,8918000,house,2009,4,3,3,SC_102,4.906,20003,2.655,31.058823529411764,0,hospital_057,2.97,S_159,1.142
34883,-37.726357,145.016629,4 McIvor Street,RESERVOIR,6633000,house,2013,2,1,2,SC_047,1.815,20011,1.241,29.0,0,hospital_139,1.905,S_225,1.078
17400,-37.702087,144.93592900000002,52 Maude Avenue,GLENROY,3500000,house,2011,4,2,0,SC_030,3.599,20032,1.67,32.875,0,hospital_184,5.236,S_004,0.603
72664,-37.851803000000004,145.295818,1 Dawn Street,BORONIA,5810000,house,2012,3,1,2,SC_049,4.867,19869,1.392,53.0,0,hospital_049,1.665,S_146,1.426
53756,-37.81416702,145.00389099999998,78 Buckingham Street,RICHMOND,5240000,house,2009,2,1,2,SC_068,2.803,19977,1.086,7.764705882352941,0,hospital_134,0.363,S_076,0.89
42236,-37.766139,145.055676,42 Hopetoun Grove,EAGLEMONT,14760000,house,2011,3,2,0,SC_001,1.238,19934,0.323,25.076923076923077,0,hospital_046,0.993,S_219,1.25
69941,-37.86145782,145.085495,32 Eleanor Street,ASHBURTON,9410000,house,2009,3,1,0,SC_042,1.845,19848,0.369,35.714285714285715,0,hospital_098,0.282,S_112,0.914
55925,-37.82300186,145.0672455,74 Broadway,CAMBERWELL,4130000,house,2009,5,2,2,SC_099,0.823,19892,0.333,26.583333333333332,0,hospital_064,2.305,S_113,1.014
51591,-37.78888,145.112348,64 Finlayson Street,DONCASTER,33600000,house,2016,4,2,1,SC_091,1.217,19896,3.453,33.63636363636363,0,hospital_194,1.749,S_188,1.046
85238,-37.893344,145.012314,12 Parnell Street,ELSTERNWICK,19440000,house,2014,3,1,1,SC_023,3.293,19953,0.807,19.0,0,hospital_013,0.339,S_193,0.898
42207,-37.76546,145.062916,4 The Panorama,EAGLEMONT,17600000,house,2016,3,3,3,SC_017,1.187,19934,0.817,25.076923076923077,0,hospital_046,0.902,S_100,0.853
18989,-37.685824,144.930303,51 Stanhope Street,BROADMEADOWS,6500000,house,2016,2,1,1,SC_072,3.968,20030,0.991,36.875,0,hospital_104,4.006,S_153,1.15
23366,-37.64294052,144.9085388,11 Langbourne Court,GREENVALE,7826000,house,2009,4,3,2,SC_072,1.487,40220,2.425,41.92857142857143,0,hospital_104,1.357,S_211,2.375
64738,-37.811927000000004,145.288892,6 Sellick Drive,CROYDON,7300000,house,2016,5,3,2,SC_022,1.518,19878,1.975,50.63636363636363,0,hospital_164,2.965,S_055,1.408
3931,-37.817223,144.88978,89 Simpson Street,YARRAVILLE,10540000,house,2014,2,1,0,SC_043,3.614,19996,0.153,15.545454545454545,0,hospital_056,2.7,S_201,1.972
57652,-37.831016,145.158771,14 The Ridge,BLACKBURN,8130000,house,2013,4,2,2,SC_002,1.711,19898,1.441,35.15151515151515,0,hospital_060,0.321,S_066,0.733
56126,-37.852095,145.120735,10 Wridgway Avenue,BURWOOD,15440000,house,2013,2,1,2,SC_037,3.682,19840,2.512,27.933333333333334,0,hospital_047,1.527,S_097,1.203
56762,-37.859998,145.112257,5 Rodway Court,BURWOOD,8500000,house,2010,4,2,2,SC_042,2.656,19840,1.515,27.933333333333334,0,hospital_089,1.616,S_112,1.777
28471,-37.797093,144.991479,121 Hotham Street,COLLINGWOOD,7264000,house,2015,2,1,0,SC_008,2.514,19975,0.348,10.8125,0,hospital_178,1.571,S_060,0.872
64151,-37.77595624,145.29734430000002,3 Arnot Court,CROYDON,8800000,house,2015,5,3,2,SC_084,2.462,19877,1.647,54.5,0,hospital_164,5.101,S_058,2.485
